,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
0,グランヴィスタ神田練塀町,賃貸マンション,東京都千代田区神田練塀町,東京メトロ日比谷線/秋葉原駅 歩4分,築5年,地下2地上21階建,19階,58万円,-,116万円,-,3LDK,88.49m2
3,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,築5年,12階建,4階,14.4万円,10000円,14.4万円,-,1DK,29.02m2
4,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,築5年,12階建,8階,27.7万円,13000円,27.7万円,-,2LDK,54.42m2
5,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,築5年,12階建,11階,28.3万円,13000円,28.3万円,-,2LDK,54.42m2
12,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築19年,地下1地上15階建,6階,16.2万円,15000円,16.2万円,16.2万円,1K,33.1m2
13,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築19年,地下1地上15階建,5階,22.9万円,20000円,22.9万円,-,1LDK,50.56m2
14,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築19年,地下1地上15階建,10階,53.2万円,20000円,53.2万円,53.2万円,2LDK,82.71m2
15,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,築19年,地下1地上15階建,12階,53.3万円,20000円,53.3万円,53.3万円,2LDK,82.71m2
24,オープンレジデンシア千代田外神田,賃貸マンション,東京都千代田区外神田５,東京メトロ銀座線/末広町駅 歩2分,築2年,13階建,6階,30.1万円,-,60.2万円,30.1万円,2LDK,56.03m2
28,オープンレジデンシア千代田外神田,賃貸マンション,東京都千代田区外神田５,東京メトロ銀座線/末広町駅 歩2分,築2年,13階建,2階,40万円,-,80万円,40万円,2SLDK,90.86m2
