,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積,最寄り駅_抽出,歩行時間
0,グランヴィスタ神田練塀町,賃貸マンション,東京都千代田区神田練塀町,東京メトロ日比谷線/秋葉原駅 歩4分,5,地下2地上21階建,19,580000,0,1160000,0,3LDK,88.49,東京メトロ日比谷線,歩4分
3,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,5,12階建,4,144000,10000,144000,0,1DK,29.02,ＪＲ山手線,歩4分
4,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,5,12階建,8,277000,13000,277000,0,2LDK,54.42,ＪＲ山手線,歩4分
5,エルスタンザ神田須田町,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩4分,5,12階建,11,283000,13000,283000,0,2LDK,54.42,ＪＲ山手線,歩4分
12,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,19,地下1地上15階建,6,162000,15000,162000,162000,1K,33.1,東京メトロ有楽町線,歩4分
13,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,19,地下1地上15階建,5,229000,20000,229000,0,1LDK,50.56,東京メトロ有楽町線,歩4分
14,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,19,地下1地上15階建,10,532000,20000,532000,532000,2LDK,82.71,東京メトロ有楽町線,歩4分
15,KWレジデンス麹町,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,19,地下1地上15階建,12,533000,20000,533000,533000,2LDK,82.71,東京メトロ有楽町線,歩4分
24,オープンレジデンシア千代田外神田,賃貸マンション,東京都千代田区外神田５,東京メトロ銀座線/末広町駅 歩2分,2,13階建,6,301000,0,602000,301000,2LDK,56.03,東京メトロ銀座線,歩2分
28,オープンレジデンシア千代田外神田,賃貸マンション,東京都千代田区外神田５,東京メトロ銀座線/末広町駅 歩2分,2,13階建,2,400000,0,800000,400000,2SLDK,90.86,東京メトロ銀座線,歩2分
51,シャーメゾンステージ秋葉原,賃貸マンション,東京都千代田区神田佐久間河岸,ＪＲ山手線/秋葉原駅 歩4分,18,12階建,12,152000,7000,152000,152000,2K,40.42,ＪＲ山手線,歩4分
54,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,5,14階建,3,142000,10000,142000,142000,1K,25.1,東京メトロ半蔵門線,歩3分
55,グラシア神保町,賃貸マンション,東京都千代田区神田神保町１,東京メトロ半蔵門線/神保町駅 歩3分,5,14階建,4,143000,10000,143000,0,1K,25.1,東京メトロ半蔵門線,歩3分
